date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:43	85933/85933	---M--	200	added ('OK')	image/jpeg	etag:%22e15668408f5bbeeb61179bd72c96bf4d%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/e8611655-a612-4d37-a8ec-b74fef32000a_rw_1200.jpg?h=7f97be0b6299156d75015c5ff5eb00f3	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf3.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/e8611655-a612-4d37-a8ec-b74fef32000a_rw_120040ff.jpg	(from https://jfsn.myportfolio.com/cc)
09:24:43	141999/141999	---M--	200	added ('OK')	image/jpeg	etag:%22540156902b8e3b15f69977b3a6a4efb9%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/57cadbee-64b8-4048-8e94-9dd1763152e1.jpg?h=bfcd4f7f6eca856d96916079b467e14e	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/57cadbee-64b8-4048-8e94-9dd1763152e1501e.jpg	(from https://jfsn.myportfolio.com/xxx)
09:24:44	126268/126268	---M--	200	added ('OK')	image/jpeg	etag:%22f7c6a6fa63747c00eb20aac3c1dd343d%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/57cadbee-64b8-4048-8e94-9dd1763152e1_rw_1200.jpg?h=29c540f93a323513398814be08b85397	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf4.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/57cadbee-64b8-4048-8e94-9dd1763152e1_rw_1200287f.jpg	(from https://jfsn.myportfolio.com/xxx)
09:24:44	170218/170218	---M--	200	added ('OK')	image/jpeg	etag:%22d1e63cc1235b0507b30deffd645b40d1%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3e0873ee-887c-470c-bc0e-988fcc250c5a.jpg?h=90dfdda21d0ddc3e0177a20fdf7154e2	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3e0873ee-887c-470c-bc0e-988fcc250c5ab56b.jpg	(from https://jfsn.myportfolio.com/llll-2)
09:24:44	144597/144597	---M--	200	added ('OK')	image/jpeg	etag:%22f232e55ec3d06503d167fd785cf391e7%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3e0873ee-887c-470c-bc0e-988fcc250c5a_rw_1200.jpg?h=22b67eaaadf0b3a271facd7a745cefe1	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3e0873ee-887c-470c-bc0e-988fcc250c5a_rw_1200db2b.jpg	(from https://jfsn.myportfolio.com/llll-2)
09:24:45	208124/208124	---M--	200	added ('OK')	image/jpeg	etag:%22ec937a8d5b821110b7df2804aa9d113f%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3871ff33-af1d-420c-8b12-dc0dc190c5c6.jpg?h=0c4c11eb5c41f447a4f9ce3cdac3a104	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3871ff33-af1d-420c-8b12-dc0dc190c5c65548.jpg	(from https://jfsn.myportfolio.com/jjj)
09:24:45	196679/196679	---M--	200	added ('OK')	image/jpeg	etag:%226db37ce175359cabe4126f86c9e73d63%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3871ff33-af1d-420c-8b12-dc0dc190c5c6_rw_1200.jpg?h=5b5fa9787bcd4fa9eaf15f4547d38059	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf2.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/3871ff33-af1d-420c-8b12-dc0dc190c5c6_rw_12002732.jpg	(from https://jfsn.myportfolio.com/jjj)
09:24:45	506689/506689	---M--	200	added ('OK')	image/jpeg	etag:%2299a082eedbc824188a6fdbd5e5e38a98%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/12d67d78-9784-4525-ad91-d2170288f86a.jpg?h=65e69e220883a0c3e1f0fabdeb43258d	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/12d67d78-9784-4525-ad91-d2170288f86a7ee4.jpg	(from https://jfsn.myportfolio.com/mmmm-1)
09:24:46	542474/542474	---M--	200	added ('OK')	image/jpeg	etag:%2221430d4ed0acab337ef696f5af58d800%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/12d67d78-9784-4525-ad91-d2170288f86a_rw_1200.jpg?h=e9ba9920badeb48dd0483925c2925914	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/12d67d78-9784-4525-ad91-d2170288f86a_rw_1200c03b.jpg	(from https://jfsn.myportfolio.com/mmmm-1)
09:24:46	148316/148316	---M--	200	added ('OK')	image/jpeg	etag:%22dbd8c1461c2a79149272f1cd9d0e76f1%22	https://pro2-bar-s3-cdn-cf1.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/2c3ea377-7910-4343-b7fa-b7877947ac8e.jpg?h=e5736547c36006cfc2822d2f34378f1f	C:/sebastians%20new%20test%20site/seb/pro2-bar-s3-cdn-cf1.myportfolio.com/97a4e951-0b9f-44e4-b83d-164904683f0c/2c3ea377-7910-4343-b7fa-b7877947ac8e8163.jpg	(from https://jfsn.myportfolio.com/mjjkjj)
